NUM_POSTE;AN;MOIS;JOUR;HEURE;U
13103001;1991;10;1;1;91
13103001;1991;10;1;2;88
13103001;1991;10;1;3;85
13103001;1991;10;1;4;85
13103001;1991;10;1;5;83
13103001;1991;10;1;6;83
13103001;1991;10;1;7;79
13103001;1991;10;1;8;74
13103001;1991;10;1;9;68
13103001;1991;10;1;10;59
13103001;1991;10;1;11;53
13103001;1991;10;1;12;48
13103001;1991;10;1;13;49
13103001;1991;10;1;14;48
13103001;1991;10;1;15;44
13103001;1991;10;1;16;45
13103001;1991;10;1;17;52
13103001;1991;10;1;18;67
13103001;1991;10;1;19;69
13103001;1991;10;1;20;72
13103001;1991;10;1;21;76
13103001;1991;10;1;22;81
13103001;1991;10;1;23;77
13103001;1991;10;1;24;74
13103001;1991;10;2;1;74
13103001;1991;10;2;2;75
13103001;1991;10;2;3;77
13103001;1991;10;2;4;70
13103001;1991;10;2;5;67
13103001;1991;10;2;6;62
13103001;1991;10;2;7;59
13103001;1991;10;2;8;55
13103001;1991;10;2;9;51
13103001;1991;10;2;10;47
13103001;1991;10;2;11;49
13103001;1991;10;2;12;48
13103001;1991;10;2;13;43
13103001;1991;10;2;14;43
13103001;1991;10;2;15;44
13103001;1991;10;2;16;47
13103001;1991;10;2;17;49
13103001;1991;10;2;18;50
13103001;1991;10;2;19;53
13103001;1991;10;2;20;54
13103001;1991;10;2;21;57
13103001;1991;10;2;22;58
13103001;1991;10;2;23;60
13103001;1991;10;2;24;62
13103001;1991;10;3;1;66
13103001;1991;10;3;2;75
13103001;1991;10;3;3;77
13103001;1991;10;3;4;82
13103001;1991;10;3;5;83
13103001;1991;10;3;6;86
13103001;1991;10;3;7;79
13103001;1991;10;3;8;65
13103001;1991;10;3;9;56
13103001;1991;10;3;10;50
13103001;1991;10;3;11;43
13103001;1991;10;3;12;51
13103001;1991;10;3;13;46
13103001;1991;10;3;14;46
13103001;1991;10;3;15;46
13103001;1991;10;3;16;45
13103001;1991;10;3;17;54
13103001;1991;10;3;18;73
13103001;1991;10;3;19;82
13103001;1991;10;3;20;86
13103001;1991;10;3;21;91
13103001;1991;10;3;22;94
13103001;1991;10;3;23;95
13103001;1991;10;3;24;95
13103001;1991;10;4;1;95
13103001;1991;10;4;2;95
13103001;1991;10;4;3;96
13103001;1991;10;4;4;96
13103001;1991;10;4;5;96
13103001;1991;10;4;6;95
13103001;1991;10;4;7;96
13103001;1991;10;4;8;86
13103001;1991;10;4;9;67
13103001;1991;10;4;10;53
13103001;1991;10;4;11;50
13103001;1991;10;4;12;51
13103001;1991;10;4;13;59
13103001;1991;10;4;14;57
13103001;1991;10;4;15;65
13103001;1991;10;4;16;66
13103001;1991;10;4;17;71
13103001;1991;10;4;18;81
13103001;1991;10;4;19;87
13103001;1991;10;4;20;90
13103001;1991;10;4;21;93
13103001;1991;10;4;22;92
13103001;1991;10;4;23;94
13103001;1991;10;4;24;95
13103001;1991;10;5;1;95
13103001;1991;10;5;2;94
13103001;1991;10;5;3;94
13103001;1991;10;5;4;94
13103001;1991;10;5;5;93
13103001;1991;10;5;6;92
13103001;1991;10;5;7;91
13103001;1991;10;5;8;81
13103001;1991;10;5;9;70
13103001;1991;10;5;10;61
13103001;1991;10;5;11;62
13103001;1991;10;5;12;60
13103001;1991;10;5;13;62
13103001;1991;10;5;14;64
13103001;1991;10;5;15;71
13103001;1991;10;5;16;82
13103001;1991;10;5;17;86
13103001;1991;10;5;18;90
13103001;1991;10;5;19;91
13103001;1991;10;5;20;94
13103001;1991;10;5;21;94
13103001;1991;10;5;22;92
13103001;1991;10;5;23;96
13103001;1991;10;5;24;97
13103001;1991;10;6;1;93
13103001;1991;10;6;2;96
13103001;1991;10;6;3;95
13103001;1991;10;6;4;91
13103001;1991;10;6;5;92
13103001;1991;10;6;6;90
13103001;1991;10;6;7;88
13103001;1991;10;6;8;84
13103001;1991;10;6;9;84
13103001;1991;10;6;10;75
13103001;1991;10;6;11;70
13103001;1991;10;6;12;67
13103001;1991;10;6;13;64
13103001;1991;10;6;14;67
13103001;1991;10;6;15;64
13103001;1991;10;6;16;71
13103001;1991;10;6;17;76
13103001;1991;10;6;18;78
13103001;1991;10;6;19;83
13103001;1991;10;6;20;89
13103001;1991;10;6;21;87
13103001;1991;10;6;22;87
